,frame,match_strength
17_00_nikos.wav 17_40_fil.wav,2600,190
17_00_nikos.wav 17_40_giorgos.wav,3082,270
17_00_nikos.wav 17_40_nikos.wav,2792,268
17_00_nikos.wav 17_40_stavros.wav,2191,278
17_00_nikos.wav 18_10_dp.wav,3343,247
17_00_nikos.wav 18_10_fil.wav,1467,216
17_00_nikos.wav 18_10_giorgos.wav,3290,345
17_00_nikos.wav 18_10_stavros.wav,1509,270
17_00_nikos.wav 18_20_dp.wav,3227,252
17_00_nikos.wav 18_20_fil.wav,2479,253
17_00_nikos.wav 18_20_giorgos.wav,2847,292
17_00_nikos.wav 18_20_nikos.wav,2459,276
17_00_nikos.wav 18_20_stavros.wav,1154,265
17_00_nikos.wav 18_30_dp.wav,2978,280
17_00_nikos.wav 18_30_fil.wav,2718,245
17_00_nikos.wav 18_30_giorgos.wav,2874,329
17_00_nikos.wav 18_30_nikos.wav,1625,238
17_00_nikos.wav 18_30_stavros.wav,1837,242
17_00_nikos.wav 18_40_dp.wav,2665,286
17_00_nikos.wav 18_40_fil.wav,3161,220
17_00_nikos.wav 18_40_giorgos.wav,3977,244
17_00_nikos.wav 18_40_nikos.wav,3101,232
17_00_nikos.wav 18_40_stavros.wav,2654,250
17_00_nikos.wav 18_50_dp.wav,2927,286
17_00_nikos.wav 18_50_fil.wav,2774,251
17_00_nikos.wav 18_50_giorgos.wav,13851,348
17_00_nikos.wav 18_50_nikos.wav,2982,307
17_00_nikos.wav 18_50_stavros.wav,1903,204
17_00_nikos.wav 18_58_stavros.wav,2733,250
17_00_stavros.wav 17_10_dp.wav,2430,300
17_00_stavros.wav 17_10_fil.wav,1545,256
17_00_stavros.wav 17_10_giorgos.wav,1472,253
17_00_stavros.wav 17_10_nikos.wav,1205,192
17_00_stavros.wav 17_10_stavros.wav,1790,297
17_00_stavros.wav 17_20_dp.wav,3252,298
17_00_stavros.wav 17_20_giorgos.wav,2834,268
17_00_stavros.wav 17_20_nikos.wav,2472,253
17_00_stavros.wav 17_20_stavros.wav,2500,246
17_00_stavros.wav 17_30_dp.wav,2259,204
17_00_stavros.wav 17_30_fil.wav,1779,240
17_00_stavros.wav 17_30_giorgos.wav,2084,194
17_00_stavros.wav 17_30_nikos.wav,1960,196
17_00_stavros.wav 17_30_stavros.wav,1992,194
17_00_stavros.wav 17_40_dp.wav,2025,252
17_00_stavros.wav 17_40_fil.wav,2098,208
17_00_stavros.wav 17_40_giorgos.wav,2020,244
17_00_stavros.wav 17_40_nikos.wav,2420,248
17_00_stavros.wav 17_40_stavros.wav,2043,224
17_00_stavros.wav 18_10_dp.wav,2684,248
17_00_stavros.wav 18_10_fil.wav,1591,212
17_00_stavros.wav 18_10_giorgos.wav,2152,280
17_00_stavros.wav 18_10_stavros.wav,1992,228
17_00_stavros.wav 18_20_dp.wav,2056,364
17_00_stavros.wav 18_20_fil.wav,1832,245
17_00_stavros.wav 18_20_giorgos.wav,2142,268
17_00_stavros.wav 18_20_nikos.wav,2734,292
17_00_stavros.wav 18_20_stavros.wav,1873,240
17_00_stavros.wav 18_30_dp.wav,2735,254
17_00_stavros.wav 18_30_fil.wav,2266,248
17_00_stavros.wav 18_30_giorgos.wav,3105,258
17_00_stavros.wav 18_30_nikos.wav,1435,236
17_00_stavros.wav 18_30_stavros.wav,1816,223
17_00_stavros.wav 18_40_dp.wav,1818,283
17_00_stavros.wav 18_40_fil.wav,1794,183
17_00_stavros.wav 18_40_giorgos.wav,3056,209
17_00_stavros.wav 18_40_nikos.wav,2567,242
17_00_stavros.wav 18_40_stavros.wav,2274,198
17_00_stavros.wav 18_50_dp.wav,2894,244
17_00_stavros.wav 18_50_fil.wav,2755,203
17_00_stavros.wav 18_50_giorgos.wav,6848,298
17_00_stavros.wav 18_50_nikos.wav,2804,250
17_00_stavros.wav 18_50_stavros.wav,2329,202
17_00_stavros.wav 18_58_stavros.wav,1894,225
17_10_dp.wav 17_10_fil.wav,2010,464
17_10_dp.wav 17_10_giorgos.wav,1939,848
17_10_dp.wav 17_10_nikos.wav,2850,753
17_10_dp.wav 17_10_stavros.wav,1904,569
17_10_dp.wav 17_20_dp.wav,3502,367
17_10_dp.wav 17_20_giorgos.wav,3028,345
17_10_dp.wav 17_20_nikos.wav,3850,252
17_10_dp.wav 17_20_stavros.wav,2466,299
17_10_dp.wav 17_30_dp.wav,2647,230
17_10_dp.wav 17_30_fil.wav,3154,259
17_10_dp.wav 17_30_giorgos.wav,2973,244
17_10_dp.wav 17_30_nikos.wav,2394,211
17_10_dp.wav 17_30_stavros.wav,2518,203
17_10_dp.wav 17_40_dp.wav,3081,280
17_10_dp.wav 17_40_fil.wav,3301,301
17_10_dp.wav 17_40_giorgos.wav,3227,393
17_10_dp.wav 17_40_nikos.wav,2995,261
17_10_dp.wav 17_40_stavros.wav,1902,251
17_10_dp.wav 18_10_dp.wav,2977,211
17_10_dp.wav 18_10_fil.wav,2611,253
17_10_dp.wav 18_10_giorgos.wav,2653,246
17_10_dp.wav 18_10_stavros.wav,2623,227
17_10_dp.wav 18_20_dp.wav,3117,294
17_10_dp.wav 18_20_fil.wav,1785,268
17_10_dp.wav 18_20_giorgos.wav,2525,258
17_10_dp.wav 18_20_nikos.wav,3285,382
17_10_dp.wav 18_20_stavros.wav,2454,236
17_10_dp.wav 18_30_dp.wav,3441,306
17_10_dp.wav 18_30_fil.wav,1856,231
17_10_dp.wav 18_30_giorgos.wav,3074,306
17_10_dp.wav 18_30_nikos.wav,2962,305
17_10_dp.wav 18_30_stavros.wav,2601,203
17_10_dp.wav 18_40_dp.wav,4011,241
17_10_dp.wav 18_40_fil.wav,2626,234
17_10_dp.wav 18_40_giorgos.wav,3023,292
17_10_dp.wav 18_40_nikos.wav,3028,279
17_10_dp.wav 18_40_stavros.wav,2696,244
17_10_dp.wav 18_50_dp.wav,3023,220
17_10_dp.wav 18_50_fil.wav,1733,230
17_10_dp.wav 18_50_giorgos.wav,10428,337
17_10_dp.wav 18_50_nikos.wav,1961,232
17_10_dp.wav 18_50_stavros.wav,3105,200
17_10_dp.wav 18_58_stavros.wav,2654,216
17_10_fil.wav 17_10_giorgos.wav,1615,450
17_10_fil.wav 17_10_nikos.wav,2524,380
17_10_fil.wav 17_10_stavros.wav,1579,662
17_10_fil.wav 17_20_dp.wav,3435,203
17_10_fil.wav 17_20_giorgos.wav,2739,196
17_10_fil.wav 17_20_nikos.wav,1764,198
17_10_fil.wav 17_20_stavros.wav,2177,234
17_10_fil.wav 17_30_dp.wav,2361,186
17_10_fil.wav 17_30_fil.wav,1911,220
17_10_fil.wav 17_30_giorgos.wav,2863,240
17_10_fil.wav 17_30_nikos.wav,1892,192
17_10_fil.wav 17_30_stavros.wav,1117,174
17_10_fil.wav 17_40_dp.wav,2121,196
17_10_fil.wav 17_40_fil.wav,2432,203
17_10_fil.wav 17_40_giorgos.wav,1421,226
17_10_fil.wav 17_40_nikos.wav,1980,194
17_10_fil.wav 17_40_stavros.wav,2147,188
17_10_fil.wav 18_10_dp.wav,2210,248
17_10_fil.wav 18_10_fil.wav,1804,178
17_10_fil.wav 18_10_giorgos.wav,1669,234
17_10_fil.wav 18_10_stavros.wav,2095,193
17_10_fil.wav 18_20_dp.wav,3350,173
17_10_fil.wav 18_20_fil.wav,1806,218
17_10_fil.wav 18_20_giorgos.wav,2810,238
17_10_fil.wav 18_20_nikos.wav,3389,203
17_10_fil.wav 18_20_stavros.wav,2060,245
17_10_fil.wav 18_30_dp.wav,2206,230
17_10_fil.wav 18_30_fil.wav,2288,216
17_10_fil.wav 18_30_giorgos.wav,2554,238
17_10_fil.wav 18_30_nikos.wav,1599,214
17_10_fil.wav 18_30_stavros.wav,2076,194
17_10_fil.wav 18_40_dp.wav,2763,216
17_10_fil.wav 18_40_fil.wav,1770,210
17_10_fil.wav 18_40_giorgos.wav,2100,276
17_10_fil.wav 18_40_nikos.wav,2394,224
17_10_fil.wav 18_40_stavros.wav,1623,270
17_10_fil.wav 18_50_dp.wav,1738,224
17_10_fil.wav 18_50_fil.wav,884,199
17_10_fil.wav 18_50_giorgos.wav,10102,254
17_10_fil.wav 18_50_nikos.wav,1647,228
17_10_fil.wav 18_50_stavros.wav,2002,187
17_10_fil.wav 18_58_stavros.wav,1928,182
17_10_giorgos.wav 17_10_nikos.wav,3745,536
17_10_giorgos.wav 17_10_stavros.wav,2800,729
17_10_giorgos.wav 17_20_dp.wav,2403,258
17_10_giorgos.wav 17_20_giorgos.wav,3921,310
17_10_giorgos.wav 17_20_nikos.wav,3289,259
17_10_giorgos.wav 17_20_stavros.wav,3392,261
17_10_giorgos.wav 17_30_dp.wav,2587,238
17_10_giorgos.wav 17_30_fil.wav,2196,273
17_10_giorgos.wav 17_30_giorgos.wav,2328,263
17_10_giorgos.wav 17_30_nikos.wav,2456,231
17_10_giorgos.wav 17_30_stavros.wav,1968,221
17_10_giorgos.wav 17_40_dp.wav,3418,278
17_10_giorgos.wav 17_40_fil.wav,2427,290
17_10_giorgos.wav 17_40_giorgos.wav,3525,325
17_10_giorgos.wav 17_40_nikos.wav,2306,329
17_10_giorgos.wav 17_40_stavros.wav,2797,320
17_10_giorgos.wav 18_10_dp.wav,2666,251
17_10_giorgos.wav 18_10_fil.wav,1836,283
17_10_giorgos.wav 18_10_giorgos.wav,2911,259
17_10_giorgos.wav 18_10_stavros.wav,3202,257
17_10_giorgos.wav 18_20_dp.wav,3528,252
17_10_giorgos.wav 18_20_fil.wav,2682,259
17_10_giorgos.wav 18_20_giorgos.wav,3508,234
17_10_giorgos.wav 18_20_nikos.wav,4269,274
17_10_giorgos.wav 18_20_stavros.wav,3810,230
17_10_giorgos.wav 18_30_dp.wav,3087,350
17_10_giorgos.wav 18_30_fil.wav,2113,224
17_10_giorgos.wav 18_30_giorgos.wav,2717,334
17_10_giorgos.wav 18_30_nikos.wav,2405,328
17_10_giorgos.wav 18_30_stavros.wav,2763,221
17_10_giorgos.wav 18_40_dp.wav,3146,258
17_10_giorgos.wav 18_40_fil.wav,2584,272
17_10_giorgos.wav 18_40_giorgos.wav,2789,362
17_10_giorgos.wav 18_40_nikos.wav,2550,339
17_10_giorgos.wav 18_40_stavros.wav,2317,238
17_10_giorgos.wav 18_50_dp.wav,2903,269
17_10_giorgos.wav 18_50_fil.wav,1859,248
17_10_giorgos.wav 18_50_giorgos.wav,13842,357
17_10_giorgos.wav 18_50_nikos.wav,2463,250
17_10_giorgos.wav 18_50_stavros.wav,3231,199
17_10_giorgos.wav 18_58_stavros.wav,2253,272
17_10_nikos.wav 17_10_stavros.wav,2013,475
17_10_nikos.wav 17_20_dp.wav,3254,333
17_10_nikos.wav 17_20_giorgos.wav,2562,285
17_10_nikos.wav 17_20_nikos.wav,3228,238
17_10_nikos.wav 17_20_stavros.wav,1996,247
17_10_nikos.wav 17_30_dp.wav,2749,218
17_10_nikos.wav 17_30_fil.wav,3149,202
17_10_nikos.wav 17_30_giorgos.wav,3027,275
