,frame,match_strength
17_10_dp.wav 17_20_stavros.wav,2466,299.0
17_10_dp.wav 17_30_dp.wav,2647,230.0
17_10_dp.wav 17_30_fil.wav,3154,259.0
17_10_dp.wav 17_30_giorgos.wav,2973,244.0
17_10_dp.wav 17_30_nikos.wav,2394,211.0
17_10_dp.wav 17_30_stavros.wav,2518,203.0
17_10_dp.wav 17_40_dp.wav,3081,280.0
17_10_dp.wav 17_40_fil.wav,3301,301.0
17_10_dp.wav 17_40_giorgos.wav,3227,393.0
17_10_dp.wav 17_40_nikos.wav,2995,261.0
17_10_dp.wav 17_40_stavros.wav,1902,251.0
17_10_dp.wav 18_10_dp.wav,2977,211.0
17_10_dp.wav 18_10_fil.wav,2611,253.0
17_10_dp.wav 18_10_giorgos.wav,2653,246.0
17_10_dp.wav 18_10_stavros.wav,2623,227.0
17_10_dp.wav 18_20_dp.wav,3117,294.0
17_10_dp.wav 18_20_fil.wav,1785,268.0
17_10_dp.wav 18_20_giorgos.wav,2525,258.0
17_10_dp.wav 18_20_nikos.wav,3285,382.0
17_10_dp.wav 18_20_stavros.wav,2454,236.0
17_10_dp.wav 18_30_dp.wav,3441,306.0
17_10_dp.wav 18_30_fil.wav,1856,231.0
17_10_dp.wav 18_30_giorgos.wav,3074,306.0
17_10_dp.wav 18_30_nikos.wav,2962,305.0
17_10_dp.wav 18_30_stavros.wav,2601,203.0
17_10_dp.wav 18_40_dp.wav,4011,241.0
17_10_dp.wav 18_40_fil.wav,2626,234.0
17_10_dp.wav 18_40_giorgos.wav,3023,292.0
17_10_dp.wav 18_40_nikos.wav,3028,279.0
17_10_dp.wav 18_40_stavros.wav,2696,244.0
17_10_dp.wav 18_50_dp.wav,3023,220.0
17_10_dp.wav 18_50_fil.wav,1733,230.0
17_10_dp.wav 18_50_giorgos.wav,10428,337.0
17_10_dp.wav 18_50_nikos.wav,1961,232.0
17_10_dp.wav 18_50_stavros.wav,3105,200.0
17_10_dp.wav 18_58_stavros.wav,2654,216.0
17_10_fil.wav 17_10_giorgos.wav,1615,450.0
17_10_fil.wav 17_10_nikos.wav,2524,380.0
17_10_fil.wav 17_10_stavros.wav,1579,662.0
